Pclass,Fare,AgeGroup_1,AgeGroup_2,AgeGroup_3,AgeGroup_4,Sex_0,Survived
3,8.05,0.0,0.0,1.0,0.0,1.0,0
2,27.75,1.0,0.0,0.0,0.0,1.0,1
3,7.2292,0.0,0.0,1.0,0.0,1.0,0
3,7.25,0.0,0.0,0.0,1.0,1.0,0
1,31.0,0.0,0.0,0.0,1.0,1.0,1
1,52.5542,0.0,0.0,0.0,1.0,1.0,1
3,7.05,0.0,0.0,1.0,0.0,1.0,0
3,34.375,0.0,1.0,0.0,0.0,1.0,0
3,8.05,0.0,0.0,1.0,0.0,1.0,0
2,26.0,0.0,0.0,0.0,1.0,1.0,0
1,211.3375,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,1.0,0.0,1.0,0
3,8.6625,0.0,0.0,0.0,1.0,1.0,0
3,31.275,1.0,0.0,0.0,0.0,1.0,0
2,26.25,1.0,0.0,0.0,0.0,1.0,1
3,7.925,0.0,0.0,1.0,0.0,1.0,0
3,13.4167,1.0,0.0,0.0,0.0,1.0,1
3,8.05,0.0,1.0,0.0,0.0,1.0,1
2,13.8583,0.0,0.0,1.0,0.0,1.0,1
1,79.2,0.0,0.0,0.0,0.0,1.0,1
3,7.65,0.0,0.0,1.0,0.0,1.0,1
3,0.0,0.0,0.0,1.0,0.0,1.0,1
1,39.4,0.0,1.0,0.0,0.0,1.0,1
3,8.05,0.0,0.0,0.0,1.0,1.0,0
2,26.0,0.0,0.0,1.0,0.0,1.0,1
1,153.4625,0.0,0.0,0.0,1.0,1.0,1
1,77.2875,0.0,0.0,1.0,0.0,1.0,0
1,263.0,0.0,1.0,0.0,0.0,1.0,0
3,29.125,1.0,0.0,0.0,0.0,1.0,0
2,13.5,0.0,0.0,1.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,0
3,24.15,0.0,1.0,0.0,0.0,1.0,0
3,14.4542,0.0,0.0,0.0,1.0,1.0,0
1,30.0,0.0,0.0,1.0,0.0,1.0,1
1,90.0,0.0,0.0,1.0,0.0,1.0,1
2,26.0,0.0,0.0,1.0,0.0,1.0,1
2,12.35,0.0,0.0,1.0,0.0,1.0,1
3,29.125,1.0,0.0,0.0,0.0,1.0,0
3,7.2292,0.0,1.0,0.0,0.0,1.0,0
3,8.05,0.0,0.0,1.0,0.0,1.0,0
2,41.5792,1.0,0.0,0.0,0.0,1.0,1
3,7.8542,0.0,0.0,1.0,0.0,1.0,0
3,9.5,0.0,0.0,1.0,0.0,1.0,0
3,16.7,1.0,0.0,0.0,0.0,1.0,1
2,26.0,0.0,0.0,1.0,0.0,1.0,0
3,31.3875,0.0,0.0,1.0,0.0,1.0,1
1,77.9583,0.0,0.0,0.0,0.0,1.0,1
3,7.775,0.0,1.0,0.0,0.0,1.0,0
3,9.0,0.0,0.0,0.0,1.0,1.0,0
2,10.5,0.0,0.0,1.0,0.0,1.0,0
3,7.75,0.0,0.0,1.0,0.0,1.0,0
1,26.55,0.0,0.0,0.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,1
1,247.5208,0.0,0.0,1.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,1.0,0.0,1.0,1
1,78.2667,0.0,0.0,0.0,1.0,1.0,1
2,13.0,0.0,1.0,0.0,0.0,1.0,0
2,13.0,0.0,0.0,0.0,1.0,1.0,0
3,11.1333,1.0,0.0,0.0,0.0,1.0,1
3,7.8542,0.0,1.0,0.0,0.0,1.0,1
1,63.3583,0.0,0.0,1.0,0.0,1.0,1
2,18.75,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,1.0,0.0,1.0,0
3,8.05,0.0,0.0,1.0,0.0,1.0,0
3,7.75,0.0,0.0,1.0,0.0,1.0,0
3,31.3875,1.0,0.0,0.0,0.0,1.0,1
3,8.05,0.0,0.0,0.0,1.0,1.0,1
2,12.875,0.0,0.0,1.0,0.0,1.0,0
3,9.825,0.0,0.0,1.0,0.0,1.0,0
2,11.5,0.0,1.0,0.0,0.0,1.0,0
3,7.7958,0.0,0.0,1.0,0.0,1.0,1
1,61.3792,0.0,0.0,0.0,1.0,1.0,0
3,16.1,0.0,0.0,1.0,0.0,1.0,0
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
3,7.25,0.0,0.0,1.0,0.0,1.0,0
3,7.8958,0.0,0.0,1.0,0.0,1.0,0
3,7.775,0.0,0.0,1.0,0.0,1.0,0
3,7.0542,0.0,0.0,0.0,1.0,1.0,0
3,56.4958,0.0,0.0,1.0,0.0,1.0,1
2,13.0,0.0,0.0,1.0,0.0,1.0,1
2,36.75,0.0,1.0,0.0,0.0,1.0,0
3,8.05,0.0,1.0,0.0,0.0,1.0,1
2,73.5,0.0,0.0,1.0,0.0,1.0,0
1,79.65,0.0,0.0,1.0,0.0,1.0,1
1,263.0,0.0,0.0,1.0,0.0,1.0,1
3,6.75,0.0,1.0,0.0,0.0,1.0,0
3,0.0,0.0,0.0,1.0,0.0,1.0,0
2,23.0,0.0,1.0,0.0,0.0,1.0,1
3,8.05,0.0,0.0,1.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,0
2,13.0,0.0,0.0,1.0,0.0,1.0,0
3,18.0,0.0,1.0,0.0,0.0,1.0,0
3,16.1,0.0,0.0,1.0,0.0,1.0,0
1,69.3,0.0,0.0,1.0,0.0,1.0,1
1,80.0,0.0,0.0,1.0,0.0,1.0,1
1,135.6333,0.0,0.0,1.0,0.0,1.0,1
3,7.125,0.0,0.0,1.0,0.0,1.0,0
3,7.75,0.0,0.0,1.0,0.0,1.0,0
2,23.0,1.0,0.0,0.0,0.0,1.0,1
2,15.0458,0.0,0.0,1.0,0.0,1.0,0
3,8.05,0.0,0.0,1.0,0.0,1.0,0
3,7.775,0.0,1.0,0.0,0.0,1.0,0
3,20.2125,0.0,1.0,0.0,0.0,1.0,0
3,7.1417,0.0,0.0,1.0,0.0,1.0,1
